"","(Intercept)","Emersion","Population","Salinity","Temperature","Emersion:Population","Emersion:Salinity","Emersion:Temperature","Population:Salinity","Population:Temperature","Salinity:Temperature","Emersion:Population:Salinity","Emersion:Population:Temperature","Emersion:Salinity:Temperature","Population:Salinity:Temperature","Emersion:Population:Salinity:Temperature","df","logLik","AICc","delta","weight"
"2",-0.963946674718192,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,47.8913595164925,-68.7989352492011,50.774276293022,1.40325062351367e-12
"5",-0.968522213231407,NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,47.751457924457,-68.5191320651302,51.0540794770929,1.22004754236804e-12
"13",-0.971048705012864,NA,NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,48.3495396594317,-67.5608679367496,52.0123436054735,7.55600684803984e-13
"622",-0.969559152778623,"+",NA,"+","+",NA,"+","+",NA,NA,"+",NA,NA,NA,NA,NA,18,52.6601668562181,-67.4463611096965,52.1268504325266,7.13555078252744e-13
"6",-0.964908314050193,"+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,48.2091190648572,-67.2800267476006,52.2931847946225,6.56611452707403e-13
"14",-0.969842998158948,"+",NA,"+","+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,48.868702352475,-66.433056878863,53.1401546633601,4.29923597637808e-13
"4718",-0.970935119809386,"+",NA,"+","+",NA,"+","+",NA,NA,"+",NA,NA,"+",NA,NA,19,52.7713628250112,-65.4548135621104,54.1183979801127,2.63613984873918e-13
"525",-0.97144300020444,NA,NA,"+","+",NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,15,48.359756492722,-65.415165159357,54.158046382866,2.5843950755484e-13
"38",-0.96395990063306,"+",NA,"+",NA,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,48.2124382808605,-65.1205287356341,54.452682806589,2.23038285676973e-13
"46",-0.967464560733366,"+",NA,"+","+",NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,48.9790847420395,-64.4758806557411,55.097330886482,1.61583074149509e-13
"558",-0.964627836914124,"+",NA,"+","+",NA,"+",NA,NA,NA,"+",NA,NA,NA,NA,NA,17,49.0720788606573,-62.4720265737735,57.1011849684496,5.93286520479932e-14
