Name	Longitude	Latitude	temp_min	temp_min		Temp min	number of presences		Latitude	number of presences	Mean SSTmin
Fucus serratus	-4.59	53.274	6.52639389	6.5							
Fucus serratus	-9.671	53.287	7.526618004	7.5							
Fucus serratus	-6.097	53.29	6.287179947	6.3							
Fucus serratus	-9.844	53.309	7.60726881	7.6							
Fucus serratus	-6.088	53.355	6.287179947	6.3							
Fucus serratus	-9.83	53.409	7.559994221	7.6							
Fucus serratus	-10.175	53.436	7.832293987	7.8							
Fucus serratus	-10.09	53.466	7.739719868	7.7							
Fucus serratus	-4.341	53.474	6.117156982	6.1							
Fucus serratus	-6.025	53.493	6.31338501	6.3							
Fucus serratus	-6.093	53.498	6.286739826	6.3							
Fucus serratus	8.505	53.548	1.771100044	1.8							
Fucus serratus	-10.188	53.579	7.834329128	7.8							
Fucus serratus	-6.173	53.616	6.165946007	6.2							
Fucus serratus	-6.089	53.62	6.069993973	6.1							
Fucus serratus	-9.928	53.635	7.565013885	7.6							
Fucus serratus	-9.926	53.698	7.597064972	7.6							
Fucus serratus	-9.926	53.81	7.600205898	7.6							
Fucus serratus	-9.669	53.818	7.533854008	7.5							
Fucus serratus	-10.086	53.887	7.649993896	7.6							
Fucus serratus	-6.251	53.892	6.061402798	6.1							
Fucus serratus	-6.095	53.979	6.137498856	6.1							
Fucus serratus	-6.094	53.979	6.137498856	6.1							
Fucus serratus	-6.247	53.981	6.097592831	6.1							
Fucus serratus	-4.674	53.993	6.616196156	6.6							
Fucus serratus	-5.938	54.066	6.233889103	6.2							
Fucus serratus	-5.939	54.067	6.233889103	6.2							
Fucus serratus	-6.191	54.077	6.1278162	6.1							
Fucus serratus	-2.919	54.082	4.654407024	4.7							
Fucus serratus	-3.257	54.093	4.730432034	4.7							
Fucus serratus	-4.591	54.101	6.483448982	6.5							
Fucus serratus	-4.763	54.163	6.553437233	6.6							
Fucus serratus	8.567	54.221	1.353252053	1.4							
Fucus serratus	-4.677	54.226	6.369277954	6.4							
Fucus serratus	-5.776	54.243	6.362264156	6.4							
Fucus serratus	-5.775	54.243	6.362264156	6.4							
Fucus serratus	-10.097	54.243	8.019515991	8.0							
Fucus serratus	-4.345	54.262	5.936763763	5.9							
Fucus serratus	-0.34	54.278	4.858234882	4.9							
Fucus serratus	-9.093	54.282	7.263888836	7.3							
Fucus serratus	-4.341	54.29	5.788492203	5.8							
Fucus serratus	-8.927	54.295	7.171916962	7.2							
Fucus serratus	-9.422	54.308	7.634072781	7.6							
Fucus serratus	-9.263	54.309	7.434497833	7.4							
Fucus serratus	-8.758	54.312	7.072317123	7.1							
Fucus serratus	8.509	54.319	1.348788023	1.3							
Fucus serratus	-8.672	54.323	7.032394886	7.0							
Fucus serratus	-5.508	54.342	6.48317194	6.5							
Fucus serratus	10.59	54.364	-0.127788797	-0.1							
Fucus serratus	-5.58	54.364	6.399993896	6.4							
Fucus serratus	-8.682	54.365	7.014278889	7.0							
Fucus serratus	-8.591	54.38	6.939993858	6.9							
Fucus serratus	-4.342	54.395	5.519993782	5.5							
Fucus serratus	-4.503	54.395	5.88880682	5.9							
Fucus serratus	11.072	54.404	-0.0770206	-0.1							
Fucus serratus	-5.424	54.417	6.481135845	6.5							
Fucus serratus	10.164	54.468	-0.179440707	-0.2							
Fucus serratus	-0.521	54.476	4.963545799	5.0							
Fucus serratus	-5.432	54.484	6.457958221	6.5							
Fucus serratus	-5.595	54.486	6.426025867	6.4							
Fucus serratus	-8.341	54.488	6.875360012	6.9							
Fucus serratus	-3.658	54.497	4.920413017	4.9							
Fucus serratus	-0.845	54.559	4.944701195	4.9							
Fucus serratus	-8.59	54.585	6.974369049	7.0							
Fucus serratus	-5.432	54.596	6.430404186	6.4							
Fucus serratus	-8.258	54.602	6.850618839	6.9							
Fucus serratus	-5.531	54.62	6.411313057	6.4							
Fucus serratus	-5.53	54.62	6.411313057	6.4							
Fucus serratus	-5.843	54.671	6.319993973	6.3							
Fucus serratus	13.412	54.682	0.279993892	0.3							
Fucus serratus	-4.345	54.7	5.278164864	5.3							
Fucus serratus	-5.51	54.701	6.407072067	6.4							
Fucus serratus	-5.589	54.704	6.413647175	6.4							
Fucus serratus	-5.675	54.717	6.410951138	6.4							
Fucus serratus	-4.846	54.766	5.96249485	6.0							
Fucus serratus	-4.03	54.769	4.886836052	4.9							
Fucus serratus	-4.35	54.787	5.209128857	5.2							
Fucus serratus	-8.58	54.809	7.096325874	7.1							
Fucus serratus	-4.254	54.82	5.101502895	5.1							
Fucus serratus	-4.922	54.828	6.067464828	6.1							
Fucus serratus	-5.086	54.842	6.215729237	6.2							
Fucus serratus	-5.759	54.847	6.443971157	6.4							
Fucus serratus	-5.172	54.848	6.298581123	6.3							
Fucus serratus	9.585	54.892	-0.829446614	-0.8							
Fucus serratus	-5.842	54.896	6.499993801	6.5							
Fucus serratus	-5.841	54.896	6.499993801	6.5							
Fucus serratus	10.658	54.93	-0.140006095	-0.1							
Fucus serratus	-5.172	54.932	6.300581932	6.3							
Fucus serratus	-8.517	54.954	7.138796806	7.1							
Fucus serratus	-8.594	54.99	7.248129845	7.2							
Fucus serratus	-5.929	54.995	6.486752987	6.5							
Fucus serratus	-6.005	55.032	6.525290012	6.5							
Fucus serratus	-5.932	55.042	6.498669147	6.5							
Fucus serratus	-5.931	55.042	6.498669147	6.5							
Fucus serratus	-1.434	55.066	4.846208096	4.8							
Fucus serratus	-8.522	55.075	7.247247219	7.2							
Fucus serratus	-5.094	55.121	6.189993858	6.2							
Fucus serratus	15.146	55.134	1.169993997	1.2							
Fucus serratus	-7.679	55.144	6.745902061	6.7							
Fucus serratus	-6.01	55.146	6.535367966	6.5							
Fucus serratus	-8.178	55.153	7.059659004	7.1							
Fucus serratus	-6.672	55.196	6.577395916	6.6							
Fucus serratus	-6.671	55.196	6.577395916	6.6							
Fucus serratus	-6.764	55.205	6.575893879	6.6							
Fucus serratus	-6.843	55.207	6.57571888	6.6							
Fucus serratus	-6.096	55.215	6.544250011	6.5							
Fucus serratus	-6.095	55.215	6.544250011	6.5							
Fucus serratus	-1.52	55.235	4.841978073	4.8							
Fucus serratus	-6.178	55.245	6.560507774	6.6							
Fucus serratus	-5.686	55.247	6.416291237	6.4							
Fucus serratus	-6.267	55.251	6.563852787	6.6							
Fucus serratus	-7.757	55.257	6.857318878	6.9							
Fucus serratus	-6.589	55.262	6.570031166	6.6							
Fucus serratus	-5.604	55.264	6.373837948	6.4							
Fucus serratus	12.426	55.27	0.209928006	0.2							
Fucus serratus	14.818	55.291	1.069008946	1.1							
Fucus serratus	14.78	55.3	1.057904005	1.1							
Fucus serratus	-6.512	55.318	6.584290028	6.6							
Fucus serratus	-4.839	55.329	6.064983845	6.1							
Fucus serratus	-6.42	55.332	6.583042145	6.6							
Fucus serratus	13.365	55.339	0.596895814	0.6							
Fucus serratus	12.915	55.391	0.359993905	0.4							
Fucus serratus	-4.843	55.406	6.00999403	6.0							
Fucus serratus	-5.513	55.409	6.252857208	6.3							
Fucus serratus	-1.601	55.424	4.779994011	4.8							
Fucus serratus	10.569	55.462	-0.191333801	-0.2							
Fucus serratus	-5.506	55.463	6.22164917	6.2							
Fucus serratus	-5.086	55.48	6.036149025	6.0							
Fucus serratus	-5.749	55.521	6.37721014	6.4							
Fucus serratus	-1.591	55.542	4.849030972	4.8							
Fucus serratus	-5.426	55.561	6.182568073	6.2							
Fucus serratus	-5.119	55.578	6.018911839	6.0							
Fucus serratus	-1.762	55.637	4.807537079	4.8							
Fucus serratus	-5.424	55.646	6.127889156	6.1							
Fucus serratus	12.73	55.65	-0.176069707	-0.2							
Fucus serratus	12.664	55.68	-0.130006105	-0.1							
Fucus serratus	-5.756	55.709	6.327434063	6.3							
Fucus serratus	-5.266	55.745	6.00405407	6.0							
Fucus serratus	-5.668	55.749	6.307178974	6.3							
Fucus serratus	-4.928	55.753	5.896266937	5.9							
Fucus serratus	-5.348	55.761	6.068362236	6.1							
Fucus serratus	-1.925	55.788	4.809669971	4.8							
Fucus serratus	-2.005	55.8	4.774386883	4.8							
Fucus serratus	-5.669	55.814	6.294868946	6.3							
Fucus serratus	-4.929	55.817	5.872439861	5.9							
Fucus serratus	10.098	55.82	-0.386039704	-0.4							
Fucus serratus	-5.925	55.821	6.422828197	6.4							
Fucus serratus	-5.016	55.822	5.879742146	5.9							
Fucus serratus	11.821	55.827	-0.26080811	-0.3							
Fucus serratus	-5.186	55.83	5.97251606	6.0							
